accelerator,Model,Features,avg_mae,std_mae,avg_r2,std_r2,avg_train_time_sec,std_train_time_sec,avg_infer_time_sec,std_infer_time_sec,avg_peak_cpu,std_peak_cpu,avg_peak_memory_mb,std_peak_memory_mb,avg_peak_gpu_util,avg_peak_gpu_memory_mb,file,cpu_train_time,cpu_infer_time,speedup_train_vs_cpu,speedup_infer_vs_cpu
GPU_NVIDIA_A100-SXM4-80GB,RF,Baseline,43.00397094255338,0.832245411849087,0.3201020351376006,0.0411836216459742,1.729464006199987,1.010711386743707,0.0507149706000063,0.0119390239793953,333.52,72.58055524725613,6566.12734375,1366.2390605341272,0.0,4438.6,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,2.5654461229999925,0.0731401759999698,1.4833764182446572,1.4421811771682407
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced,38.053055974721765,1.3938417211675262,0.462433270452658,0.0401419144785025,1.7930929824000486,0.1140773590947524,0.0437017567999873,0.0118285582537085,613.8399999999999,81.82281466681525,7051.7078125,356.7806137668683,3.0,5376.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,2.8394416431999616,0.0632411600000068,1.583544005285983,1.4471079569969412
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced_2,39.76643083218629,1.2987847322310635,0.4212401800945528,0.0326594879511111,1.8693801923999445,0.116820904437265,0.0456240025999704,0.0145041816928519,588.36,309.6071753044493,7172.80859375,222.8387347042033,2.8,5547.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,3.152368739400026,0.061304648999976,1.68631761062631,1.3436929139578775
GPU_NVIDIA_A100-SXM4-80GB,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.0444573989653287,0.6967569522000303,0.8327678763020755,0.0078445599999668,0.0119672780657209,430.56000000000006,579.0694371144103,6984.625,448.1492053189052,5.8,5360.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,1.1778321322000012,0.0057886956001311,1.690449056132073,0.7379248294557756
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.4461169448176141,0.0449485773881463,0.4669757864000303,0.2473315648687354,0.0028265358000226,0.0001641604536941,377.8,439.8535040215094,7120.71171875,222.4473199848832,0.0,5543.8,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,0.4681875583999499,0.004666969200025,1.0025949354018144,1.6511268670248878
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.0413964670404317,0.5177295723999805,0.3525190275051743,0.0038150232000134,0.0020066205682507,256.06,468.5409352447233,7174.2375,221.50578730064416,0.0,5547.0,kfold_avg_GPU_NVIDIA_A100-SXM4-80GB_20260129_172523.csv,0.4354273029999603,0.0038547513999674,0.8410323192115512,1.0104136194909275
GPU_NVIDIA_L4,LSTM,Baseline,50.568643833300754,1.4750977222201025,0.0945358299594359,0.0425434451999326,16.299682473799976,2.1019912802785976,0.1001897554000152,0.0026954580562902,235.16,50.04925573872203,6407.64921875,344.2485130726735,21.8,2418.2,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,17.84455051499999,0.1287572463999822,1.0947790267499522,1.2851338531161107
GPU_NVIDIA_L4,LSTM,Enhanced,43.58348241013321,1.705533947132337,0.2980488462475402,0.0547479881910201,15.269591031999926,0.2482550750549416,0.0981087109999862,0.0016845277719589,162.78,9.77123328961089,6502.88671875,219.3417605353206,22.0,2496.0,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,17.904015518200005,0.1303511029999754,1.172527507821212,1.328639441608745
GPU_NVIDIA_L4,LSTM,Enhanced_2,44.0285549193263,1.1970154372790305,0.2835519329158799,0.0314712024650873,15.158105524799977,0.0776282539122263,0.0991275773999404,0.0047493590942914,204.04,66.8283846879453,6566.93828125,215.38447935881888,22.0,2496.0,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,17.731048529600002,0.1306449068000802,1.1697404072422155,1.3179471366780195
GPU_NVIDIA_L4,MLP,Baseline,55.87452826199166,1.3078656123690309,-0.0451267334697734,0.1355089813046437,0.6035508128000856,0.0383444594980239,0.0012478709999868,2.0733436087568992e-05,104.66,5.726953815074819,6345.0765625,395.1401282190346,0.0,2407.8,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,0.7070906377999109,0.0014072222000777,1.171551131742276,1.1276984560844714
GPU_NVIDIA_L4,MLP,Enhanced,41.17159113509587,1.770790201346605,0.3807349261841094,0.0464557423338952,0.6706350468000437,0.0652763164609314,0.0013395569999829,6.473594920616958e-05,229.76,164.2288738316134,6458.1265625,213.61156046083337,0.6,2492.8,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,0.7672539487999529,0.0015330594000261,1.1440707616772032,1.144452531729273
